FRA Point;FRA Point Latitude;FRA Point Longitude
BABIB;N461043;E0290305
BABIT;N455554;E0185544
BABIT;N455554;E0185544
BABKO;N493642;E0192810
BABKO;N493642;E0192810
BABKO;N493642;E0192810
BABLO;N365023;E0113000
BABNI;N485753;E0181512
BABOL;N444652;E0183722
BABOT;N551012;E0164125
BABOX;N465345;E0194059
BACAM;N442807;E0232826
BADIT;N480952;E0125004
BADKA;N452239;E0290639
BADNO;N514500;E0174042
BADOP;N452744;E0130015
BADOR;N473425;E0220629
BADOR;N473425;E0220629
BADOV;N480116;E0184857
BADOV;N480116;E0184857
BADUP;N520333;E0172516
BADUS;N542318;E0253518
BAGIX;N385925;E0152928
BAGNO;N435326;E0114808
BAGRI;N451112;E0294812
BAGSI;N480328;E0141723
BAJUN;N431827;E0211745
BAJUN;N431826;E0211744
BAKEP;N441037;E0123541
BAKLO;N423234;E0262932
BAKOR;N463632;E0114343
BAKRO;N431117;E0095315
BALAP;N480405;E0191500
BALAP;N480405;E0191500
BALAP;N480405;E0191500
BALAP;N480405;E0191500
BALBA;N505142;E0230124
BALBI;N445418;E0254515
BALEM;N412852;E0184109
BALEM;N412852;E0184109
BALEM;N412852;E0184109
BALHA;N423314;E0181639
BALIK;N434036;E0271800
BALIT;N554837;E0190528
BALOS;N501632;E0193930
BALTU;N500522;E0131935
BALTU;N500522;E0131935
BALUK;N440555;E0104011
BALUX;N472027;E0190746
BAMEK;N445419;E0111722
BAMOX;N544256;E0171700
BAMSO;N522009;E0215435
BAMUD;N475432;E0241235
BANAV;N414343;E0170040
BANUB;N542743;E0141750
BAPGU;N464727;E0271743
BAPLU;N450918;E0101341
BAR;N410839;E0164635
BAREB;N454446;E0182448
BAREB;N454446;E0182448
BAREP;N521616;E0153352
BAREX;N505340;E0184418
BARGU;N535950;E0211511
BARIT;N431540;E0175121
BARPI;N453509;E0133122
BARPI;N453509;E0133122
BARPI;N453509;E0133122
BARPI;N453509;E0133122
BARUG;N475349;E0152120
BARUK;N443229;E0283411
BASIP;N435332;E0075742
