FRA Point;FRA Point Latitude;FRA Point Longitude
SQQ;N555326;E0232409
SRN;N453846;E0090118
STEIN;N472539;E0163559
STEIN;N472539;E0163559
STEIN;N472539;E0163559
STJ;N445507;E0255837
STO;N482502;E0160107
SUBEN;N482611;E0132012
SUBEN;N482611;E0132012
SUBEN;N482611;E0132012
SUBES;N472516;E0172536
SUBIX;N522247;E0143508
SUBOK;N363000;E0165126
SUBOR;N560749;E0222050
SUDOL;N503912;E0182442
SUKOM;N443309;E0114011
SUKUN;N404502;E0095440
SUMAM;N513638;E0220227
SUMIR;N461532;E0112135
SUNEV;N422900;E0095200
SUNIS;N470831;E0162059
SUNIS;N470831;E0162059
SUNOR;N462847;E0171750
SUPAK;N491813;E0194759
SUPAK;N491813;E0194759
SUPAK;N491813;E0194759
SUPID;N521324;E0214440
SUPIL;N502224;E0124849
SUPUX;N402529;E0080000
SURAP;N463241;E0295400
SUSIP;N374025;E0110650
SUTAD;N403546;E0085806
SUTIK;N523202;E0212406
SUTOB;N424559;E0143022
SUVUR;N471923;E0292320
SUWGI;N540411;E0225401
SUXAN;N463344;E0102845
SUXUB;N415254;E0140447
SVR;N464941;E0180704
TABEM;N491436;E0151317
TABIN;N480055;E0180504
TABOT;N390900;E0080000
TADAK;N531657;E0165356
TADAM;N451450;E0193246
TADIX;N384949;E0142140
TAGAS;N480238;E0153914
TAGEL;N401752;E0131840
TAGIP;N455601;E0104124
TAGOL;N552817;E0251317
TAKOS;N483457;E0201600
TALAM;N440511;E0302619
TALAS;N410436;E0215500
TALEP;N432744;E0084244
TAQ;N421254;E0114357
TAVRU;N455830;E0285154
TAZ;N421655;E0184801
TEA;N411748;E0135814
TEBLI;N451205;E0164033
TEGRI;N461546;E0210616
TEGRI;N461546;E0210616
TEGRI;N461546;E0210616
TEKLA;N485846;E0184443
TEKNO;N473726;E0172432
TEKNO;N473726;E0172432
TEKSA;N400016;E0084619
TEKVI;N481128;E0183258
TENVO;N521354;E0174627
TEPNA;N493017;E0223922
TEPNI;N484149;E0195112
TERSI;N454713;E0072735
TESTO;N443550;E0083956
TETOV;N415836;E0205924
TEVGU;N522617;E0213504
TEVRO;N442047;E0253007
TEVSA;N465234;E0271212
TGM;N462649;E0241824
TIBER;N421456;E0123556
TIBLA;N494745;E0164044
TIBRI;N422438;E0183315
TIBRO;N461306;E0132822
TIBRO;N461306;E0132822
TIDGA;N462339;E0230347
TIDGA;N462339;E0230347
TIDKA;N434800;E0091131
TIGNU;N553613;E0195018
TIGRA;N400324;E0190000
TIKSA;N430103;E0171852
TILAV;N542459;E0150000
TIMID;N440359;E0181432
TIMOV;N422937;E0115357
TIMPU;N414549;E0162547
TIMSO;N513003;E0220718
TIMUR;N434120;E0241421
TIMUR;N434120;E0241421
TINIX;N420957;E0130722
TINKU;N434548;E0103226
TINTO;N412841;E0110404
TIPNI;N441818;E0111305
TIRCA;N403304;E0195123
TIRIN;N560402;E0204452
TIRVO;N445933;E0284411
TISAD;N473159;E0223522
TISAK;N452519;E0201338
TISAL;N363000;E0174623
TISAX;N463843;E0110354
TISKO;N464057;E0155931
TISMA;N465432;E0140935
TITEK;N442936;E0233426
TITIG;N480332;E0123334
TITIG;N480332;E0123334
TITIG;N480332;E0123334
TITUV;N531128;E0220139
TIVAP;N484345;E0142338
TIVDA;N492610;E0123924
TIVNU;N445753;E0170334
TIVON;N483939;E0193143
TIVUK;N385100;E0095600
TIXIP;N455015;E0223848
TIXIR;N421519;E0135330
TNT;N460113;E0110824
TOBGA;N425327;E0095200
TOBSO;N470058;E0115127
TODNI;N434626;E0181826
TODNO;N443138;E0110342
TODRO;N425513;E0232145
TOLPA;N511810;E0233845
TOMET;N462912;E0253532
TOMGI;N384305;E0181317
TOMTI;N505711;E0151736
TOMTI;N505711;E0151736
TOMTI;N505711;E0151736
TOMUC;N473027;E0264934
TONDA;N450633;E0081347
TONDO;N460250;E0192121
TONDO;N460250;E0192121
TOP;N445531;E0075142
TOPNO;N405706;E0160628
TORLI;N413548;E0120106
TORNO;N473223;E0182924
TORPO;N433351;E0142529
TORPO;N433351;E0142529
TORPO;N433351;E0142529
TORTO;N434015;E0194353
TORTU;N432318;E0085730
TORTU;N432318;E0085730
TOSPO;N520059;E0233953
TOSVI;N444514;E0250941
TOSVI;N444514;E0250941
TOTRA;N552635;E0224616
TOVKA;N481613;E0165535
TOVKA;N481613;E0165535
TOVKA;N481613;E0165535
TOXAR;N523648;E0223220
TPL;N440837;E0204440
TPS;N472936;E0192646
TRAUN;N475829;E0123515
TRAUN;N475829;E0123515
TRAUN;N475829;E0123515
TRN;N412458;E0194306
TROTA;N410331;E0180357
TRP;N375346;E0123048
TUDBU;N415800;E0274637
TUFTE;N424103;E0132802
TUGSO;N425614;E0273453
TULIK;N451702;E0124721
TULNU;N461650;E0270016
TUMBO;N400402;E0202822
TUMKA;N492428;E0155650
TUMKI;N535654;E0235356
TUMOP;N441904;E0261750
TUNEX;N373534;E0111739
TUNGA;N541335;E0232302
TUNGA;N541335;E0232302
TUNVO;N430832;E0252316
TUPAL;N371121;E0113000
TUPUP;N451317;E0073552
TUPUR;N530747;E0154854
TUPUS;N451315;E0155323
TUREC;N475754;E0243459
TUREL;N444244;E0301010
TURIR;N444958;E0283922
TURIS;N482144;E0183042
TURMO;N405140;E0114958
TUROL;N535131;E0203000
TURSA;N463855;E0295638
TUSIN;N495051;E0183422
TUSIN;N495051;E0183422
TUSIN;N495051;E0183422
TUTIP;N391147;E0094552
TUTIV;N454231;E0134936
TUTPI;N484257;E0172310
TUVAP;N462809;E0291941
TUVAR;N450736;E0190439
TUVNU;N464836;E0214024
TZO;N453333;E0093025
UBOGU;N444547;E0244006
UBORU;N553319;E0230916
UBUXI;N480804;E0163642
UDROS;N424420;E0303546
UDROV;N531539;E0205000
UDSIG;N465840;E0260313
UDVAR;N430657;E0210226
UDZUN;N413756;E0164154
UGFOS;N554652;E0220819
UGNIS;N552751;E0234845
ULFIG;N402645;E0172520
ULGAP;N465023;E0273503
ULGIL;N510555;E0160112
ULKEN;N393654;E0160221
ULMIN;N454850;E0232353
ULMIN;N454850;E0232353
ULPIN;N444213;E0143914
ULPUK;N484636;E0193728
ULZAK;N465939;E0183401
UMARY;N490604;E0193715
UMPIT;N424647;E0241027
UMPIT;N424647;E0241027
UMSON;N433109;E0154603
UMVEG;N471242;E0115348
UMVEG;N471242;E0115348
UMVEG;N471242;E0115348
UMVIT;N532300;E0204000
UNDER;N410405;E0195651
UNDOL;N482708;E0274318
UNIMI;N465139;E0110355
UNIPA;N440146;E0162858
UNIRA;N471006;E0275106
UNIRA;N471006;E0275106
UNITA;N435640;E0090130
UNIXO;N404631;E0124054
UNKEN;N474918;E0123604
UNPEG;N531525;E0223544
UNTAD;N461312;E0105034
UNUMU;N432522;E0124311
UNVOX;N533051;E0153135
UPAMA;N433735;E0252506
UPAMA;N433735;E0252506
UPASI;N542312;E0241637
UPDIN;N432244;E0095411
UPDUT;N411504;E0085053
UPEGU;N490206;E0142835
UPEGU;N490206;E0142835
UPETA;N460317;E0140554
UPIRO;N453733;E0124433
UPIVA;N483443;E0184901
UPKIS;N502101;E0175954
UPLAD;N401345;E0161238
UPLAV;N491922;E0173142
UPNAN;N560628;E0220436
UPONO;N425057;E0120017
URAVA;N462458;E0133156
UREKO;N503746;E0224231
URELA;N452948;E0263340
UREXE;N405500;E0094036
URIDO;N561649;E0243059
URIPI;N415233;E0151105
URNEQ;N471420;E0220807
USALI;N421807;E0233844
USALI;N421807;E0233844
USALO;N495625;E0190353
USEGI;N505607;E0224032
USEPI;N402647;E0082356
USIRO;N441430;E0254553
USOVO;N431053;E0282013
USTIL;N505000;E0240600
USUPA;N493114;E0150744
UTAME;N432902;E0141358
UTAPO;N422232;E0141022
UTEKA;N435444;E0222332
UTEKA;N435444;E0222332
UTENO;N431503;E0134056
UTENU;N552743;E0252636
UTEVO;N501236;E0173043
UTEVO;N501236;E0173043
UTEVO;N501236;E0173043
UTOLU;N515349;E0185203
UTOMO;N423845;E0195110
UVALU;N444239;E0252639
UVERA;N471200;E0202547
UVIVI;N513515;E0175300
UVNIB;N451335;E0093228
UVODI;N430639;E0163231
UVOKA;N412247;E0165149
UVOKI;N443041;E0104321
UVROB;N523401;E0210118
UVUDA;N421331;E0274813
UWLER;N505907;E0183541
UXUTA;N375606;E0144125
UZVEZ;N441758;E0181214
VABAT;N523236;E0161137
VABEK;N430011;E0203716
VABER;N541140;E0232425
VABER;N541140;E0232425
VABMO;N435518;E0113727
VABOK;N451737;E0111641
VABUR;N423011;E0280335
VACCE;N384211;E0150519
VADEN;N420356;E0271258
VADEX;N491503;E0185305
VADIK;N453824;E0112817
VADNU;N442225;E0285240
VADOL;N511723;E0220609
VADRU;N554151;E0174708
VAGDU;N505220;E0212152
VAGEN;N424329;E0220440
VAGNI;N511420;E0155903
VAGON;N511829;E0170652
VAGSA;N511959;E0173321
VAGVO;N561459;E0191706
VAJDI;N472232;E0181709
VAKIR;N552011;E0235401
VAKIS;N435108;E0284329
VAKLA;N491802;E0144403
VAKNU;N502827;E0190901
VAKON;N452841;E0100000
VAKOR;N385010;E0140913
VAKSU;N420051;E0183137
VAL;N441916;E0195230
VAL;N441926;E0195229
VALLU;N461730;E0152011
VALMA;N413438;E0112517
VALPI;N490129;E0175701
VALPI;N490129;E0175701
VALUV;N554132;E0200759
VAMES;N472048;E0233340
VAMET;N464626;E0151828
VAMOG;N474714;E0173945
VAMOG;N474714;E0173945
VAMOG;N474714;E0173945
VAMON;N442358;E0244047
VAMPU;N515157;E0190730
VAMTU;N440844;E0073731
VANAX;N460228;E0154353
VANET;N421741;E0232437
VANET;N421741;E0232437
VAPOS;N544743;E0174936
VAPUP;N430321;E0151220
VAPUP;N430321;E0151220
VAPUP;N430321;E0151220
VAPUS;N485354;E0182057
VARAL;N400051;E0143829
VARIK;N501728;E0122252
VASIS;N455712;E0222429
VASIS;N455712;E0222429
VASLE;N455718;E0145842
VATET;N473603;E0140159
VAVAX;N403925;E0093238
VAVUN;N532831;E0151959
VAXUR;N514833;E0220555
VBA;N454452;E0170848
VEBAL;N455929;E0171748
VEBAL;N455929;E0171748
VEBAR;N440812;E0191049
VEBOS;N471823;E0183814
VEBOX;N410900;E0153147
VEDER;N475047;E0175850
VEGAN;N403616;E0152809
VEKEN;N463349;E0132246
VEKET;N401939;E0092044
VEKON;N540551;E0170106
VELAB;N512811;E0164456
VELAD;N420306;E0104549
VELAX;N502920;E0223114
VELBA;N415800;E0225300
VELBA;N415800;E0225300
VELEX;N395759;E0112732
VELIP;N444618;E0213200
VELIP;N444618;E0213200
VELIT;N432106;E0171638
VELOM;N481316;E0132958
VELSE;N475150;E0232040
VELUG;N425427;E0152615
VELUG;N425427;E0152615
VELUG;N425427;E0152615
VEMAL;N522706;E0191018
VEMUT;N494839;E0122740
VENEN;N483400;E0143229
VENES;N510856;E0215438
VENIL;N465829;E0281445
VENIM;N363000;E0172533
VENOX;N503318;E0140802
VERDA;N473200;E0132000
VERIG;N471020;E0214329
VEROB;N451744;E0072322
VERUN;N431653;E0115517
VESAL;N462324;E0114259
VESOD;N363000;E0155537
VESUB;N492509;E0125951
VETAS;N560109;E0255122
VETIK;N472110;E0201357
VEVIN;N444247;E0263907
VEXIL;N502332;E0123801
VEXUV;N404222;E0131759
VIBAD;N455721;E0143639
VIBOP;N445957;E0184339
VIBUD;N465031;E0235538
VIBUL;N542030;E0151628
VIC;N453814;E0114035
VIDEV;N513119;E0194809
VIE;N415446;E0160257
VIKBI;N441531;E0243921
VILAK;N464147;E0135453
VILIS;N472424;E0273503
VILIS;N472424;E0273503
VIT;N423355;E0231724
VIZAN;N543900;E0173852
VJOSA;N395855;E0202329
VLM;N494215;E0150400
VLM;N494215;E0150400
VNO;N543810;E0251737
VOG;N445753;E0085813
VOLVO;N473428;E0290400
VOSLE;N451738;E0280950
VOZ;N493156;E0145229
VOZ;N493156;E0145229
VRANA;N434513;E0173216
VRB;N425533;E0264003
VTN;N434303;E0204837
VUBCA;N542541;E0235300
VULKA;N384800;E0151636
VURKE;N411637;E0180549
VUSME;N371550;E0154806
WAK;N423430;E0234216
WGM;N481926;E0162927
WIMMI;N472456;E0143714
WITRI;N480854;E0200712
WRN;N431352;E0274902
XAMIT;N431842;E0144752
XAMIT;N431842;E0144752
XAMIT;N431842;E0144752
XANEX;N430738;E0245849
XAPAT;N403629;E0181726
XARIN;N561257;E0215857
XATOS;N394155;E0080000
XAXAN;N420812;E0211937
XELET;N505015;E0170733
XELMI;N433549;E0180901
XELOL;N541639;E0145342
XENAK;N480710;E0171759
XENIT;N441937;E0204845
XERBI;N530156;E0154016
XERPA;N545733;E0164540
XESNA;N522533;E0221745
XEVLU;N500544;E0195446
XIBIL;N424749;E0105902
XIDNA;N514200;E0165951
XIGRI;N523039;E0143649
XILTI;N423835;E0280814
XIMBA;N513921;E0212540
XOLTA;N424214;E0154454
XOLTA;N424214;E0154454
XOLTA;N424214;E0154454
XOMBA;N474524;E0180343
XOMBA;N474524;E0180343
XOMBA;N474524;E0180343
XOPTA;N423829;E0095200
YUJKI;N502806;E0133359
YUJKI;N502806;E0133359
YULHU;N441804;E0183240
YURHI;N422532;E0260046
YUYUH;N431423;E0193818
ZAG;N455344;E0161824
ZARVE;N455334;E0145652
ZAWIK;N531807;E0153135
ZDA;N440543;E0152151
ZENIT;N544023;E0254407
ZOLKU;N473326;E0174830
ZOTXU;N421000;E0262718
ZUBOK;N460622;E0214212
ZULOC;N451910;E0250000
ZURFA;N472352;E0195045
ABERO;N521340;E0231232
ABROK;N513535;E0290154
ADOBU;N530652;E0242226
AGNEF;N542909;E0284822
AGNUL;N540204;E0264735
AKPOZ;N535730;E0250227
AMIRI;N515511;E0255311
ANHOM;N543955;E0261513
ARZIM;N532614;E0291013
ASKIL;N543012;E0310505
BABUN;N521053;E0284653
BADUS;N542318;E0253518
BAGAM;N524711;E0292523
BATKU;N552733;E0263304
BATNA;N545500;E0305010
BEGDA;N535828;E0243253
BENIM;N550847;E0281317
BEREG;N523629;E0300253
BESAK;N531545;E0245921
BIGLU;N514323;E0233235
BOHES;N535259;E0290330
BORAT;N512759;E0293512
BRT;N520634;E0235316
BUGOR;N531300;E0322753
BURAK;N515049;E0262345
BUSIN;N531629;E0263053
DAHRU;N545000;E0285133
DAKWI;N530607;E0284037
DELON;N532059;E0283853
DIBON;N515335;E0260717
DIFTO;N540940;E0301348
DINPU;N542535;E0301546
DIVIM;N521123;E0250253
DOMAN;N523305;E0245029
DOZAL;N522437;E0301714
DUBIN;N554846;E0265841
DUKAT;N542817;E0253655
DULEB;N534906;E0292323
ELDOK;N534805;E0250447
ELMAM;N541146;E0271118
ENOBI;N533534;E0233747
EPFIN;N543546;E0261015
FOZLU;N545105;E0302602
GAFUL;N531344;E0285254
GANVI;N525717;E0262411
GIDKA;N535618;E0301211
GIGIS;N541143;E0305742
GINSO;N523325;E0242717
GLB;N550903;E0274009
GOGER;N523617;E0301917
GOL;N523201;E0305950
GOMAD;N515159;E0295754
GORAT;N531041;E0235339
GOVIK;N533605;E0264923
GOWDA;N524506;E0285718
GRD;N533628;E0240321
GRINA;N530117;E0240905
HOFTI;N533420;E0254924
INKUZ;N545339;E0261359
IRFIL;N524833;E0242149
KAWAD;N532058;E0300759
KEDUG;N532918;E0304753
KIBER;N514259;E0303754
KIZIR;N534352;E0264004
KODON;N551424;E0291053
KOLAK;N533023;E0274117
KOLOS;N532723;E0265723
KOMAP;N535123;E0284247
KOMEN;N532235;E0250011
KOPON;N533842;E0304529
KUBIN;N543517;E0274141
KUNIN;N520629;E0265123
KUTHU;N544324;E0294252
LAFAT;N544952;E0254643
LAFIZ;N542007;E0292216
LAPKI;N544030;E0292853
LASDA;N512835;E0301542
LEGSI;N551554;E0285535
LEHNE;N544835;E0301346
LENOK;N543305;E0272629
LETKI;N521117;E0232416
LIHUD;N550825;E0292133
LIWIC;N540423;E0285429
LOVIK;N520500;E0310054
LUBIN;N541806;E0303459
LUHEZ;N531238;E0292922
LUMIT;N554224;E0292923
LUPAN;N530705;E0274035
MABIR;N523900;E0313254
MAGEP;N515647;E0290259
MAMIN;N525730;E0305611
MAPAT;N522135;E0245905
MASAD;N523247;E0270759
MATUS;N540611;E0272017
MEZLA;N522825;E0301754
MGL;N535710;E0300544
MNS;N535304;E0280114
MOGRA;N560151;E0290346
MOSON;N544006;E0310229
MOTFI;N530628;E0282227
MUHNA;N533454;E0291624
MUHOS;N540320;E0302444
NALWE;N541307;E0295935
NASKA;N533659;E0285453
NAVNU;N523528;E0240841
NELIM;N525635;E0240947
NELOK;N543406;E0294829
NEWOD;N530855;E0284507
NEZGI;N533701;E0294538
NIGBA;N560220;E0274917
NINKI;N534755;E0294946
NOPKA;N541947;E0255311
OGARA;N524123;E0271417
OGREL;N530848;E0242701
OKNOD;N554705;E0273359
OKWET;N535328;E0250722
OLAGO;N554800;E0302923
ORHIM;N533254;E0263616
OSMUS;N535341;E0264321
PASUD;N542336;E0295553
PENAL;N543105;E0283117
PENAT;N534654;E0301105
PEPAR;N534429;E0250559
PINUG;N525539;E0254152
PIROS;N532930;E0300859
PITWI;N532100;E0290447
PNK;N520913;E0260748
PODIL;N550812;E0262827
POTAP;N530411;E0241605
RAFMA;N535841;E0291959
RAMBE;N550304;E0272544
RATIN;N551648;E0305141
RAVOK;N521247;E0240535
REWED;N531507;E0252529
RIZNI;N532928;E0291345
ROMAL;N521211;E0303118
ROMLU;N522744;E0261403
ROVSI;N535151;E0305024
RUBUN;N542605;E0264759
RUDEN;N533705;E0274123
RUDKA;N525105;E0235519
RUHAL;N540758;E0291142
RUMIK;N542736;E0303217
SALAR;N540505;E0315135
SLEDA;N533306;E0302559
SODKO;N541100;E0292629
SOGBI;N541247;E0251145
SOMAT;N515544;E0252215
SONTI;N520959;E0265135
SORFO;N541749;E0290055
SORIK;N512735;E0284436
SOSUD;N522511;E0245753
SOTET;N534947;E0233311
SUMOK;N542136;E0293629
SUPEK;N553500;E0305653
SURUG;N523335;E0241317
TADIG;N541012;E0303705
TADUN;N515405;E0244117
TAZIP;N530643;E0280749
TEBHE;N530836;E0293500
TEDRO;N541723;E0275147
TEGLU;N553006;E0302541
TIVAN;N535253;E0283023
TIWOK;N540820;E0264945
TOBLO;N525806;E0312135
TOSPO;N520059;E0233953
TUMKI;N535654;E0235356
TURAT;N534829;E0320832
UDRIK;N543443;E0274741
UGNAL;N532811;E0250005
UZMAH;N552954;E0284501
VALOL;N521329;E0232759
VALTA;N550830;E0291035
VEPIS;N550552;E0305917
VTB;N550740;E0302136
WERHI;N542244;E0285528
ZENIT;N544023;E0254407
ABGIM;N705107;E0194751
ABVEL;N680341;E0102906
ADSIM;N654100;E0062900
ADV;N781037;E0160045
AGIXI;N645133;E0053610
AMLEV;N634640;E0042738
AMPIS;N775729;E0174306
APTEK;N631244;E0010055
APTEK;N631244;E0010055
ARVOM;N720414;E0300000
ATSOT;N770736;E0131055
BEVMU;N670452;E0083911
BJO;N743007;E0190510
BURIX;N631037;E0014907
BURIX;N631037;E0014907
DESES;N690710;E0123346
DEXES;N630446;E0033843
DEXES;N630446;E0033843
EDIKI;N762645;E0182355
EXITA;N760000;E0000000
GILAV;N712600;E0281726
GOGNO;N663029;E0074743
GOLOL;N783140;E0145529
GOPEN;N664319;E0080812
IDLAG;N673900;E0094439
INPAR;N780341;E0133601
INSEP;N733000;E0150000
IPKEM;N640546;E0044615
KOXEM;N655735;E0065437
KUXUS;N700615;E0144615
LALAD;N781422;E0140501
LARIL;N715921;E0300000
LARNU;N720652;E0295918
LELSA;N693429;E0133542
LEVLO;N701511;E0153909
LULUB;N630800;E0014349
LUNEV;N771000;E0141826
LUVIS;N641941;E0050224
NAXEN;N780841;E0170238
NEPKI;N702125;E0161942
NESAS;N782326;E0141616
NINUL;N675346;E0100507
OGIVO;N750000;E0300000
OKDIT;N781941;E0135455
OTVIK;N771600;E0180236
PEPIV;N704039;E0182438
PEVUR;N712750;E0245422
PIRIV;N650531;E0055220
PITOL;N762000;E0145303
POKAX;N630721;E0025335
POKAX;N630721;E0025335
RARAG;N780045;E0163840
RAVDA;N703407;E0174702
REDRI;N704831;E0190301
RUBUS;N710054;E0300000
SUSES;N774917;E0150701
ULTET;N681548;E0105216
UMREX;N713245;E0272201
UVSAS;N720500;E0194200
VAVAD;N720000;E0170000
VEPAT;N685515;E0121110
VEVUS;N633259;E0041347
XASUM;N694616;E0135938
XEGLA;N671709;E0090518
XESLA;N780537;E0164336
AAL;N570613;E0095944
ABADA;N641556;E0051753
ABADA;N641556;E0051753
ABAGU;N523012;W0073848
ABALA;N663930;E0230000
ABAMA;N575912;E0153411
ABANU;N700800;E0260000
ABASU;N683444;E0180100
ABAVA;N564035;E0263236
ABAXI;N664706;E0155233
ABAXI;N664706;E0155233
ABBEW;N503012;W0032834
ABDIG;N621927;E0054730
ABGUN;N683234;E0114943
ABIBU;N703237;E0282254
ABINO;N555806;E0095940
ABJAZ;N602400;E0135000
ABKAS;N553548;E0080806
ABKEM;N642855;E0254841
ABKIL;N685647;E0165746
ABKUL;N685858;E0151953
ABLOP;N680856;E0244518
ABLUC;N534757;W0043046
ABMAT;N625951;E0083747
ABMAX;N614325;E0284117
ABNAG;N685610;E0151822
ABOXU;N633457;E0252329
ABRAK;N652246;E0114819
ABSER;N595350;E0225948
ABTAM;N673204;E0140359
ABTUS;N681222;E0151208
ABUNO;N620000;E0115625
ABWIV;N515249;W0030035
ABWIV;N515249;W0030034
ABWIV;N515249;W0030033
ACCOP;N515544;W0032257
ADAPU;N695535;E0210011
ADARA;N513000;W0150000
ADASI;N591315;W0061731
ADAXA;N561752;E0185354
ADBIT;N675800;E0121352
ADBUS;N542500;W0123000
ADEDO;N624616;E0250336
ADEXU;N684615;E0273711
ADGAS;N695808;E0204442
ADHAV;N515453;W0051349
ADIVO;N601751;E0235853
ADKAS;N662747;E0080627
ADKAS;N662747;E0080627
ADKIK;N504749;W0023245
ADMUP;N524800;W0061400
ADN;N571838;W0021602
ADNUM;N632828;E0073102
ADODO;N583000;W0100000
ADOPI;N601925;E0092300
ADOPO;N612524;E0264950
ADSEB;N605410;E0281559
ADSEN;N560841;E0105302
ADUKO;N710531;E0262531
ADVIS;N552305;E0130023
ADVOP;N560714;E0120702
AFAKE;N655133;E0120329
AFEME;N612059;E0111131
AGAMO;N630848;E0311554
AGANI;N694055;E0211550
AGCAT;N515129;W0044455
AGEKU;N601205;E0081743
AGINI;N530920;W0083446
AGIVU;N623854;E0295019
AGIVU;N623854;E0295019
AGLEG;N635318;E0105448
AGLIX;N663541;E0144430
AGMOL;N644313;E0150554
AGNIL;N605605;E0104952
AGORI;N570000;W0130000
AGWIM;N601700;E0145000
AKEGO;N643536;E0101501
AKIVO;N595752;W0093000
AKOKU;N660150;E0132833
AKVOW;N601200;E0171200
ALAMI;N590252;E0205457
ALAMI;N590252;E0205457
ALASA;N544831;E0095742
ALASA;N544831;E0095742
ALASO;N552650;W0013354
ALHUP;N524244;W0025628
ALMIK;N562900;E0263832
ALOLA;N591536;E0183706
ALOPA;N693554;E0200000
ALOTI;N575427;E0033630
ALOTI;N575427;E0033630
ALOTI;N575427;E0033630
ALS;N545419;E0095936
ALUVA;N592327;E0045810
AMADA;N550000;E0062100
AMADA;N550000;E0062100
AMASU;N622243;E0232115
AMCON;N553431;W0063837
AMDEP;N513400;W0111300
AMFUL;N512844;W0033721
AMIMO;N675230;E0162629
AMKUX;N603843;E0034326
AMLAB;N611954;E0035342
AMLAD;N561552;W0100000
AMLAD;N561552;W0100000
AMLAD;N561552;W0100000
AMOLI;N570621;E0251515
AMOXA;N620000;E0105134
AMPAD;N641856;E0195004
AMPOP;N493148;W0060903
AMRAK;N544928;E0094502
AMRAK;N544928;E0094502
AMRAM;N555637;E0063803
AMROR;N545324;E0150550
AMROT;N602938;E0234233
AMSEV;N574031;E0084808
AMSEV;N574031;E0084808
AMSUR;N560602;E0123350
AMSUR;N560602;E0123350
AMTAP;N582225;W0093000
AMTIB;N592353;E0094743
AMTOT;N560226;E0121049
AMUBA;N672154;E0262012
AMULU;N672249;E0242242
AMUPO;N610957;E0223817
ANAMA;N582459;E0242842
AND;N691716;E0160829
ANDIC;N691716;E0160829
ANDOR;N685426;E0172348
ANETI;N712000;E0273551
ANFEV;N554659;E0171431
ANJAK;N525350;W0025933
ANNET;N493905;W0040005
APSOV;N554923;W0100000
APSOV;N554923;W0100000
APSOV;N554923;W0100000
APTAB;N680912;E0143210
APTEN;N662412;E0250422
APTUG;N591936;E0190820
APZER;N584942;E0173438
ARBEV;N613737;E0242940
ARDUX;N673640;E0143201
ARFUT;N661902;E0262209
ARGIB;N595053;E0164441
ARIWA;N601400;E0135000
ARJUD;N672500;E0215700
ARKIL;N503928;W0080000
ARKIL;N503928;W0080000
ARL;N593912;E0175452
ARLOM;N604725;E0274353
ARMEG;N700447;E0283753
ARMOD;N573003;E0172046
ARMUV;N590825;E0232801
ARNEN;N621618;E0065741
ARPAK;N514844;W0031905
ARPIV;N613914;E0130957
ARPOV;N593017;E0085051
ARQUS;N570545;E0125543
ARS;N593510;E0163901
ARSAM;N592651;E0252125
ARTAB;N610000;E0182517
ARTEX;N565341;E0035738
ARTOR;N582004;E0100856
ARTOR;N582004;E0100856
ARVEP;N601458;E0262357
ARVIM;N681852;E0140533
ASBIL;N552219;E0095938
ASKEB;N662422;E0231658
ASKEG;N553310;E0112346
ASKEX;N623234;E0053647
ASKOR;N562258;E0223646
ASKUP;N535333;W0060632
ASLID;N562047;E0112038
ASLUP;N652355;E0250741
ASMUS;N550500;E0083931
ASNUD;N564139;W0030320
ASPEM;N621150;E0290603
ASRED;N673149;E0124316
ASRIS;N641123;E0271540
ASTOS;N560714;E0125741
ASTOX;N682704;E0154809
ASTUX;N623325;E0272715
ASVAN;N560000;E0115600
ASVAR;N582558;E0252058
ASVOB;N615204;E0175841
ASVUG;N695552;E0270821
ASVUG;N695552;E0270821
ATHAS;N523645;W0024528
ATJEF;N594442;E0085703
ATKID;N684822;E0160444
ATKUR;N653243;E0135642
ATLAP;N600846;E0094803
ATLEM;N643642;E0144040
ATLUL;N623357;E0274617
ATNAK;N570000;E0050000
ATNAK;N570000;E0050000
ATNAK;N570000;E0050000
ATNAK;N570000;E0050000
ATNAK;N570000;E0050000
ATPEL;N632358;E0223208
ATRAK;N563528;E0235035
ATRIB;N562524;E0123048
ATSEN;N620437;E0251900
ATSIX;N600000;W0100000
ATSUR;N500000;W0140000
ATTUS;N545359;E0084658
ATTUS;N545359;E0084658
ATWEG;N690352;E0175000
ATWET;N610108;E0120704
AVRAL;N553034;E0034259
AVTIC;N524305;W0030758
AVZAC;N514637;W0050356
AXNEF;N514505;W0035319
AXRAM;N613517;E122142
AXUTI;N625302;E0210425
AZCAL;N515417;W0031145
BABAP;N592520;E0184228
BABGU;N541639;W0051625
BADAB;N590420;E0060122
BADGA;N553749;E0023658
BADIX;N694702;E0221342
BADLU;N695230;E0250825
BAGOS;N543422;E0111612
BAGOS;N543422;E0111612
BAGSO;N534048;W0053000
BAJIV;N710154;E0252706
BAKIV;N593102;E0091848
BAKLA;N612145;E0192457
BAKLA;N612145;E0192457
BAKLI;N545500;E0133339
BAKLI;N545500;E0133339
BAKOG;N560459;E0081420
BAKUR;N521430;W0054049
BAKUR;N521430;W0054049
BALAK;N665111;E0143246
BALID;N562949;W0015707
BALIX;N590000;W0100000
BALOX;N550208;E0132537
BALTI;N595415;E0251506
BAMIP;N655647;E0154142
BAMIX;N594645;E0104150
BAMLI;N540829;W0063904
BAMPI;N555034;E0081611
BAMRA;N592600;W0035710
BAMVA;N623902;E0081131
BANBA;N515710;W0061421
BANBA;N515710;W0061421
